Topic Name	YouTube Link
Number Systems	https://www.youtube.com/watch?v=7zX9WktzeFY
Binary Addition and Subtraction	https://www.youtube.com/watch?v=t19svtHr-Ss
Binary to Decimal Conversion	https://www.youtube.com/watch?v=6JkA6N7kt6k
Decimal to Binary Conversion	https://www.youtube.com/watch?v=XcELisPmLxw
Two's Complement	https://www.youtube.com/watch?v=lKTsv6iVxV4
Gray Code	https://www.youtube.com/watch?v=wkYrD1QXr2Q
Asynchronous and Synchronous Counters	https://www.youtube.com/watch?v=hDkgrS0vNz4
Fan-In and Fan-Out	https://www.youtube.com/watch?v=w8fYmLb_CcQ
Propagation Delay	https://www.youtube.com/watch?v=yuVq5_t15do
Multiplexers and Demultiplexers	https://www.youtube.com/watch?v=kj4u4cJ0v80
Boolean Algebra	https://www.youtube.com/watch?v=cn8JhxDPlpA
Karnaugh Map	https://www.youtube.com/watch?v=qAM_3m48XqY
Quine-McCluskey Method	https://www.youtube.com/watch?v=JlTLluQnPdQ
Combinational Circuits Design Procedure	https://www.youtube.com/watch?v=6UZJUCBh6r0
TTL and CMOS Logic Families	https://www.youtube.com/watch?v=tEawo6bGz9A
Extra Questions for each Topic	
(1) Convert (11110111)2 to decimal, octal and hexadecimal.	
(2) Subtract (1101110)2 from (10011000)2 using 2's complement.	
(3) Convert the binary number (11011011)2 to Gray code.	
(4) Draw the timing diagram for a 4-bit synchronous up counter using T flip-flops.	
(5) Implement the following Boolean function using NAND gates: F(A,B,C,D) = Σ(1, 3, 5, 7, 11, 12, 13, 14)	
(6) Draw the circuit diagram of a 2-bit synchronous up-down binary counter using J-K flip-flops.	
(7) Simplify the Boolean expression F(A,B,C) = (A + B')(A' + B + C) using the laws of Boolean algebra.
